Cuenta,Subcuenta,Objeto/proyecto,Subproyecto,Aporte nacional,Recursos propios,Apropiación en precios corrientes,Código de entidad,Tipo de gasto,Entidad,Código de sector,Sector,Unidad,Código de unidad,Año
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento de las misiones aéreas policiales en el territorio  nacional,,20658000000.0,,20658000000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento de la infraestructura educativa y administrativa de la policía   nacional,,27544000000.0,,27544000000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Desarrollo tecnológico policia  nacional,,17903600000.0,,17903600000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
"Capacidades de la policía nacional en seguridad pública, prevención, convivencia y seguridad ciudadana",Intersubsectorial defensa y seguridad,Fortalecimiento  de la infraestructura de soporte para el bienestar de social de los funcionarios de la policía   nacional,,20658000000.0,,20658000000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Mejoramiento de la movilidad para la prestación del servicio de sanidad policial  nacional,,13772000000.0,,13772000000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,1583780000.0,,1583780000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Gestion general,160101,2019
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Fortalecimiento de las instalaciones de salud de la policía   nacional,,9640400000.0,,9640400000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Salud,160102,2019
Generación de bienestar para la fuerza pública y sus familias,Intersubsectorial defensa y seguridad,Mejoramiento de la movilidad para la prestación del servicio de sanidad policial  nacional,,2754400000.0,,2754400000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Salud,160102,2019
Fortalecimiento de la gestión y dirección del sector defensa y seguridad,Intersubsectorial defensa y seguridad,Actualización del sistema de información de sanidad policial a nivel  nacional,,5508800000.0,,5508800000.0,1601,Inversión,Policía nacional,15.0,Defensa y policía,Salud,160102,2019
Gastos de personal,Planta de personal permanente,Salario,,19051573323.2,,19051573323.2,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,6882456464.4,,6882456464.4,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,3513547070.0,,3513547070.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,10246407765.2728,,10246407765.2728,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Organizacion para la cooperacion y el desarrollo economico ocde-articulo 47 ley 1450 de 2011,263045200.0,,263045200.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,"Contribucion a la comision interamericana del atun tropical - ciat, ley 579/2000",5942618000.0,,5942618000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo de fomento agropecuario decreto ley  1279 de 1994,549502800.0,,549502800.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,"Desarrollo de funciones de apoyo al sector agropecuario en ciencia, tecnologia e innovacion a cargo de corpoica a nivel nacional. ley 1731 de 2014",302984000000.0,,302984000000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Bonos pensionales (de pensiones),550880000.0,,550880000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Obligaciones convencionales pensionados del idema (de pensiones),133588400.0,,133588400.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),189732712.4,,189732712.4,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales del idema (de pensiones),63584879164.4,,63584879164.4,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A instituciones sin ánimo de lucro que sirven a los hogares,A instituciones sin ánimo de lucro que sirven a los hogares,Fortalecimiento de las asociaciones y ligas de consumidores (ley 73 de 1981 y decreto 1320 de 1982),965417200.0,,965417200.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,17077280000.0,,17077280000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,4131600000.0,,4131600000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A empresas,"Agricultura, ganadería, caza, silvicultura y pesca",Transferencias al sector agricola y sector industrial para apoyo a la produccion - articulo 1 ley 16/90 y articulo 1 ley 101/93; ley 795/03,10759913485.2,,10759913485.2,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Transferencias corrientes,A empresas,Actividades de servicios financieros y de seguros,Apertura y/u operacion oficinas de la red social del banco agrario a nivel nacional. ley 795 de 2003,1501148000.0,,1501148000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,7503854613.2,,7503854613.2,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,37873000.0,,37873000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,2408149884.8,,2408149884.8,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Gastos de personal,Planta de personal permanente,Salario,,6204834125.599999,,6204834125.599999,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,2492631464.4,,2492631464.4,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,898310375.6,,898310375.6,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Adquisición de bienes  y servicios,Adquisición de activos no financieros,,,263455605.6,,263455605.6,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,2625463792.6176,,2625463792.6176,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Incapacidades y licencias de maternidad (no de pensiones),37965272.4,,37965272.4,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,41316000.0,,41316000.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,51252498.0,,51252498.0,1701,Funcionamiento,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Mejoramiento de la habitabilidad rural,Intersubsectorial agropecuario,Subsidio para la construcción o mejoramiento de vivienda de interés social rural para la población rural   nacional,,314395082109.1696,,314395082109.1696,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Fortalecimiento de la cofinanciación de proyectos integrales de desarrollo agropecuario y rural para la población rural a nivel  nacional,,24232801601.4392,,24232801601.4392,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Fortalecimiento de las capacidades de los productores agropecuarios y sus esquemas asociativos en la generación y consolidación de encadenamientos productivos  nacional,,6659120547.134,,6659120547.134,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Formulación e implementación de planes y proyectos integrales con enfoque territorial para la población rural.  nacional,,65732905602.4124,,65732905602.4124,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Fortalecimiento para la atención de la mujer rural a nivel   nacional,,1545539370.232,,1545539370.232,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Apoyo para generar oportunidades a los jóvenes rurales para su integración generacional en el campo  nacional,,4415826772.8784,,4415826772.8784,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,"Fortalecimiento de actividades que impulsen y contribuyan al desarrollo del sector agropecuario, pesquero y de desarrollo rural – fondo de fomento agropecuario - ffa  nacional",,20133480320.0124,,20133480320.0124,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Construcción y fortalecimiento de políticas de generación de ingresos y fortalecimiento de las capacidades productivas que permitan el desarrollo agropecuario y rural  nacional,,3915336384.8412,,3915336384.8412,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Servicios financieros y gestión del riesgo para las actividades agropecuarias y rurales,Intersubsectorial agropecuario,Implementación de estrategias para la inclusión financiera en el sector agropecuario  nacional,,342258290907.8784,,342258290907.8784,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Aprovechamiento de mercados externos,Intersubsectorial agropecuario,Aprovechamiento de las oportunidades agroexportadoras   nacional,,828516693.2196,,828516693.2196,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
"Ciencia, tecnología e innovación agropecuaria",Intersubsectorial agropecuario,Implementación de estrategias tecnologicas dirigidas al desarrollo de la cadena lactea   nacional,,26014374828.5608,,26014374828.5608,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
"Ciencia, tecnología e innovación agropecuaria",Intersubsectorial agropecuario,"Investigación fortalecer la generación de conocimiento científico, técnico, social y económico de la pesca y la acuicultura  nacional",,5530766933.5732,,5530766933.5732,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Infraestructura productiva y comercialización,Intersubsectorial agropecuario,Fortalecimiento para  el desarrollo de la cadena forestal productiva  nacional,,6361480320.0124,,6361480320.0124,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Infraestructura productiva y comercialización,Intersubsectorial agropecuario,Fortalecimiento de la competitividad de las cadenas productivas agropecuarias a nivel  nacional,,128214088328.5856,,128214088328.5856,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Mejoramiento de la planeación estratégica y administrativa de la entidad a nivel  nacional,,8000940160.694799,,8000940160.694799,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Adecuación a las instalaciones del ministerio de agricultura y desarrollo rural en materia de infraestructura física y gestión documental   bogotá,,16406253547.134,,16406253547.134,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Implementación y fortalecimiento de iniciativas tecnológicas y de gestión de la información para el sector agropecuario.  bogotá,,16974707094.268,,16974707094.268,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Fortalecimiento de las capacidades para la gestión y comprensión de la política de desarrollo rural  nacional,,3513025514.7196,,3513025514.7196,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,"Fortalecimiento del diseño, seguimiento y evaluación de políticas públicas para el desarrollo agropecuario   nacional",,4748112128.2804,,4748112128.2804,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,Gestion general,170101,2019
Ordenamiento social y uso productivo del territorio rural,Intersubsectorial agropecuario,Servicio de gestión de tecnologías de información y comunicación para la planificación del territorio rural para usos agropecuarios en el ámbito  nacional,,3167560000.0,,3167560000.0,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Ordenamiento social y uso productivo del territorio rural,Intersubsectorial agropecuario,"Desarrollo de la planificación de las zonas de interés de desarrollo rural, económico y social en el ámbito  nacional",,1652640000.0,,1652640000.0,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Ordenamiento social y uso productivo del territorio rural,Intersubsectorial agropecuario,Desarrollo de la planificación y gestión del territorio rural para usos agropecuarios en el ámbito  nacional,,12532520000.0,,12532520000.0,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Fortalecimiento de la capacidad de gestión de la autoridad nacional de acuicultura y pesca - aunap  nacional,,5642502565.7484,,5642502565.7484,1701,Inversión,Ministerio de agricultura y desarrollo rural,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Salario,,85830461613.59999,,85830461613.59999,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,27309966895.2,,27309966895.2,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,10301566176.0,,10301566176.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Personal supernumerario y planta temporal,Salario,,1070311638.0,,1070311638.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Personal supernumerario y planta temporal,Contribuciones inherentes a la nómina,,325822107.6,,325822107.6,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Personal supernumerario y planta temporal,Remuneraciones no constitutivas de factor salarial,,44102075.6,,44102075.6,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,16086931075.7144,9276309364.6916,25363240440.406,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,A gobiernos y organizaciones internacionales,A organizaciones internacionales,Oficina inter. de epizootias dl 1149/1956,394136736.4,591204416.0,985341152.4,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,A entidades del gobierno,A órganos del pgn,Fondo rotatorio del transporte,,811170800.0,811170800.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Mesadas pensionales (de pensiones),173563007.2,,173563007.2,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Cuotas partes pensionales (de pensiones),284529520.0,,284529520.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Prestaciones sociales,Prestaciones sociales relacionadas con el empleo,Programas de vivienda y otros (no de pensiones),2133416388.4,,2133416388.4,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Sentencias,,1008385840.0,1008385840.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Transferencias corrientes,Sentencias y conciliaciones,Fallos nacionales,Conciliaciones,,432165360.0,432165360.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,958531200.0,,958531200.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,,961285600.0,961285600.0,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,468589545.6,,468589545.6,1702,Funcionamiento,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Sanidad agropecuaria e inocuidad agroalimentaria,Intersubsectorial agropecuario,Prevención y control de enfermedades y plagas e inocuidad en la producción primaria  nacional,,191779969758.542,68860000000.0,260639969758.542,1702,Inversión,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Fortalecimiento de la capacidad de gestión de la autoridad nacional de acuicultura y pesca - aunap  nacional,,33126758558.2868,9685218219.6,42811976777.8868,1702,Inversión,Instituto colombiano agropecuario (ica),17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Salario,,8539347880.8,,8539347880.8,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Contribuciones inherentes a la nómina,,3375007636.0,,3375007636.0,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Gastos de personal,Planta de personal permanente,Remuneraciones no constitutivas de factor salarial,,1596229888.0,,1596229888.0,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Adquisición de bienes  y servicios,Adquisiciones diferentes de activos,,,3047713871.7608,518465415.138,3566179286.8988,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Impuestos,,,48890600.0,,48890600.0,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Tasas y derechos administrativos,,,4820200.0,,4820200.0,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Gastos por tributos, multas, sanciones e intereses de mora",Contribuciones,Cuota de fiscalización y auditaje,,79519528.0,,79519528.0,1715,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Inclusión productiva de pequeños productores rurales,Intersubsectorial agropecuario,Fortalecimiento de las acciones de fomento a la pesca y a la acuicultura del país  nacional,,34826844241.3628,,34826844241.3628,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Sanidad agropecuaria e inocuidad agroalimentaria,Intersubsectorial agropecuario,Desarrollo de las actividades de inspección y vigilancia para el mejoramiento del ejercicio de la actividad pesquera y la acuicultura del pais  nacional,,9414764529.2008,,9414764529.2008,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Sanidad agropecuaria e inocuidad agroalimentaria,Intersubsectorial agropecuario,Fortalecimiento de las medidas de administración y ordenación para el desarrollo sostenible de la pesca y la acuicultura  nacional,,3683118586.642,3354225688.0,7037344274.642,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Ciencia, tecnología e innovación agropecuaria",Intersubsectorial agropecuario,"Investigación fortalecer la generación de conocimiento científico, técnico, social y económico de la pesca y la acuicultura  nacional",,7122167711.0892,,7122167711.0892,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
"Ciencia, tecnología e innovación agropecuaria",Intersubsectorial agropecuario,Fortalecimiento del servicio estadístico pesquero colombiano  nacional,,8725182570.4516,,8725182570.4516,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
Fortalecimiento de la gestión y dirección del sector agropecuario,Intersubsectorial agropecuario,Fortalecimiento de la capacidad de gestión de la autoridad nacional de acuicultura y pesca - aunap  nacional,,6846389258.6804,,6846389258.6804,1715,Inversión,Autoridad nacional de acuicultura y pesca - aunap,17.0,Agricultura y desarrollo rural,"Unidad de planificacion de tierras rurales, adecuacion de tierras y usos agropecuarios upra",170106,2019
